item_id,version_no,category_key,lang,description,notes
W45000455,1,Geog/BuiltUp,cy-gb,Aberbargod,
W45000353,1,Geog/BuiltUp,cy-gb,Ystradgynlais,
W45000304,1,Geog/BuiltUp,cy-gb,Abergwili,
W45000254,1,Geog/BuiltUp,cy-gb,Blaenannerch,
W45000208,1,Geog/BuiltUp,cy-gb,Bryncrug,
W45000405,1,Geog/BuiltUp,cy-gb,Cwmgwrach,
W45000155,1,Geog/BuiltUp,cy-gb,Tal-y-waenydd,
W45000456,1,Geog/BuiltUp,cy-gb,Tircoed,
W45000354,1,Geog/BuiltUp,cy-gb,Pontyberem,
W45000305,1,Geog/BuiltUp,cy-gb,Llandissilio,
W45000255,1,Geog/BuiltUp,cy-gb,Llanbedr Pont Steffan,
W45000209,1,Geog/BuiltUp,cy-gb,Ffordun,
W45000406,1,Geog/BuiltUp,cy-gb,Crynant,
W45000156,1,Geog/BuiltUp,cy-gb,Trefor,
W45000457,1,Geog/BuiltUp,cy-gb,Argoed,
W45000355,1,Geog/BuiltUp,cy-gb,Cwm-twrch Uchaf,
W45000306,1,Geog/BuiltUp,cy-gb,Nantgaredig,
W45000256,1,Geog/BuiltUp,cy-gb,Penparc,
W45000210,1,Geog/BuiltUp,cy-gb,Machynlleth,
W45000407,1,Geog/BuiltUp,cy-gb,Whitehill (Pembrokeshire),
W45000157,1,Geog/BuiltUp,cy-gb,Rhosllannerchrugog,
W45000458,1,Geog/BuiltUp,cy-gb,Cil-ffriw,
W45000356,1,Geog/BuiltUp,cy-gb,Talacharn,
W45000307,1,Geog/BuiltUp,cy-gb,Meidrim,
W45000257,1,Geog/BuiltUp,cy-gb,Cwmann,
W45000211,1,Geog/BuiltUp,cy-gb,Aberriw,
W45000408,1,Geog/BuiltUp,cy-gb,Waterston,
W45000158,1,Geog/BuiltUp,cy-gb,Blaenau Ffestiniog,
W45000159,1,Geog/BuiltUp,cy-gb,Bangor-is-y-coed,
W45000160,1,Geog/BuiltUp,cy-gb,Clawdd Poncen,
W45000161,1,Geog/BuiltUp,cy-gb,Rhiwabon,
W45000162,1,Geog/BuiltUp,cy-gb,Corwen,
W45000163,1,Geog/BuiltUp,cy-gb,Acrefair and Cefn-mawr,
W45000164,1,Geog/BuiltUp,cy-gb,Trevor,
W45000165,1,Geog/BuiltUp,cy-gb,Llan Ffestiniog,
W45000166,1,Geog/BuiltUp,cy-gb,Llangollen,
W45000167,1,Geog/BuiltUp,cy-gb,Owrtyn,
W45000168,1,Geog/BuiltUp,cy-gb,Froncysyllte,
W45000169,1,Geog/BuiltUp,cy-gb,Cynwyd,
W45000170,1,Geog/BuiltUp,cy-gb,Nefyn,
W45000171,1,Geog/BuiltUp,cy-gb,Morfa Nefyn,
W45000172,1,Geog/BuiltUp,cy-gb,Tremadog,
W45000173,1,Geog/BuiltUp,cy-gb,Penley,
W45000174,1,Geog/BuiltUp,cy-gb,Penrhyndeudraeth,
W45000175,1,Geog/BuiltUp,cy-gb,Porthmadog,
W45000176,1,Geog/BuiltUp,cy-gb,Y Waun,
W45000177,1,Geog/BuiltUp,cy-gb,Cricieth,
W45000178,1,Geog/BuiltUp,cy-gb,Gellilydan,
W45000179,1,Geog/BuiltUp,cy-gb,Glyn Ceiriog,
W45000180,1,Geog/BuiltUp,cy-gb,Morfa Bychan,
W45000181,1,Geog/BuiltUp,cy-gb,Hafan y Mor,
W45000182,1,Geog/BuiltUp,cy-gb,Y Bala,
W45000183,1,Geog/BuiltUp,cy-gb,Trawsfynydd,
W45000184,1,Geog/BuiltUp,cy-gb,Pwllheli,
W45000185,1,Geog/BuiltUp,cy-gb,Llanbedrog,
W45000186,1,Geog/BuiltUp,cy-gb,Harlech,
W45000187,1,Geog/BuiltUp,cy-gb,Abersoch,
W45000188,1,Geog/BuiltUp,cy-gb,Llanbedr,
W45000189,1,Geog/BuiltUp,cy-gb,Llanrhaeadr-ym-Mochnant,
W45000190,1,Geog/BuiltUp,cy-gb,Dyffryn Ardudwy,
W45000191,1,Geog/BuiltUp,cy-gb,Tal-y-bont (Gwynedd),
W45000192,1,Geog/BuiltUp,cy-gb,Llansantffraid-ym-Mechain,
W45000193,1,Geog/BuiltUp,cy-gb,Llanfechain,
W45000194,1,Geog/BuiltUp,cy-gb,Llanfyllin,
W45000195,1,Geog/BuiltUp,cy-gb,Four Crosses (Powys),
W45000196,1,Geog/BuiltUp,cy-gb,Dolgellau,
W45000197,1,Geog/BuiltUp,cy-gb,Abermaw,
W45000198,1,Geog/BuiltUp,cy-gb,Arddlin,
W45000199,1,Geog/BuiltUp,cy-gb,Meifod,
W45000258,1,Geog/BuiltUp,cy-gb,Llanwrtyd Wells,
W45000357,1,Geog/BuiltUp,cy-gb,Llansteffan,
W45000259,1,Geog/BuiltUp,cy-gb,Aberteifi,
W45000260,1,Geog/BuiltUp,cy-gb,Llandudoch,
W45000358,1,Geog/BuiltUp,cy-gb,Ludchurch,
W45000261,1,Geog/BuiltUp,cy-gb,Dre-fach,
W45000212,1,Geog/BuiltUp,cy-gb,Tywyn,
W45000359,1,Geog/BuiltUp,cy-gb,Tycroes,
W45000409,1,Geog/BuiltUp,cy-gb,Abertyleri,
W45000308,1,Geog/BuiltUp,cy-gb,Caerfyrddin,
W45000262,1,Geog/BuiltUp,cy-gb,Llangoedmor,
W45000459,1,Geog/BuiltUp,cy-gb,Penalun,
W45000213,1,Geog/BuiltUp,cy-gb,Tregynon,
W45000360,1,Geog/BuiltUp,cy-gb,Nantyglo,
W45000410,1,Geog/BuiltUp,cy-gb,Penperlleni,
W45000309,1,Geog/BuiltUp,cy-gb,Llangynidr,
W45000263,1,Geog/BuiltUp,cy-gb,Llechryd,
W45000460,1,Geog/BuiltUp,cy-gb,Pont-y-pwl,
W45000214,1,Geog/BuiltUp,cy-gb,Trefaldwyn,
W45000361,1,Geog/BuiltUp,cy-gb,Johnston,
W45000411,1,Geog/BuiltUp,cy-gb,Saundersfoot,
W45000310,1,Geog/BuiltUp,cy-gb,Simpson Cross,
W45000264,1,Geog/BuiltUp,cy-gb,Llanybyther,
W45000461,1,Geog/BuiltUp,cy-gb,Bargoed,
W45000215,1,Geog/BuiltUp,cy-gb,Aberdyfi,
W45000362,1,Geog/BuiltUp,cy-gb,Onllwyn,
W45000412,1,Geog/BuiltUp,cy-gb,Pontardawe,
W45000311,1,Geog/BuiltUp,cy-gb,Keeston,
W45000265,1,Geog/BuiltUp,cy-gb,Cleirwy,
W45000462,1,Geog/BuiltUp,cy-gb,Aberpennar,
W45000216,1,Geog/BuiltUp,cy-gb,Aber-miwl,
W45000363,1,Geog/BuiltUp,cy-gb,Ferryside,
W45000413,1,Geog/BuiltUp,cy-gb,Trimsaran,
W45000312,1,Geog/BuiltUp,cy-gb,Clunderwen,
W45000266,1,Geog/BuiltUp,cy-gb,Cilgerran,
W45000463,1,Geog/BuiltUp,cy-gb,Treherbert,
W45000217,1,Geog/BuiltUp,cy-gb,Caersws,
W45000364,1,Geog/BuiltUp,cy-gb,Llannarth,
W45000414,1,Geog/BuiltUp,cy-gb,Abersychan,
W45000313,1,Geog/BuiltUp,cy-gb,Crughywel,
W45000267,1,Geog/BuiltUp,cy-gb,Cenarth,
W45000464,1,Geog/BuiltUp,cy-gb,Glyncorrwg,
W45000218,1,Geog/BuiltUp,cy-gb,Y Drenewydd,
W45000365,1,Geog/BuiltUp,cy-gb,Dyffryn Cellwen,
W45000415,1,Geog/BuiltUp,cy-gb,Llandogo,
W45000314,1,Geog/BuiltUp,cy-gb,Crundale,
W45000268,1,Geog/BuiltUp,cy-gb,Penrhiw-llan,
W45000465,1,Geog/BuiltUp,cy-gb,Jameston,
W45000219,1,Geog/BuiltUp,cy-gb,Ceri,
W45000366,1,Geog/BuiltUp,cy-gb,Tredegar,
W45000416,1,Geog/BuiltUp,cy-gb,Hendy and Fforest,
W45000315,1,Geog/BuiltUp,cy-gb,Llangatwg,
W45000269,1,Geog/BuiltUp,cy-gb,Llandysul,
W45000466,1,Geog/BuiltUp,cy-gb,Tonna,
W45000220,1,Geog/BuiltUp,cy-gb,Tal-y-bont (Ceredigion),
W45000367,1,Geog/BuiltUp,cy-gb,Cwmgwili,
W45000417,1,Geog/BuiltUp,cy-gb,Pontarddulais,
W45000316,1,Geog/BuiltUp,cy-gb,Hendy-Gwyn,
W45000270,1,Geog/BuiltUp,cy-gb,Castell Newydd Emlyn,
W45000467,1,Geog/BuiltUp,cy-gb,Swffryd,
W45000221,1,Geog/BuiltUp,cy-gb,Borth,
W45000368,1,Geog/BuiltUp,cy-gb,Pont Henri,
W45000418,1,Geog/BuiltUp,cy-gb,Cosheston,
W45000419,1,Geog/BuiltUp,cy-gb,Rhos,
W45000420,1,Geog/BuiltUp,cy-gb,New Tredegar,
W45000421,1,Geog/BuiltUp,cy-gb,Alltwen,
W45000422,1,Geog/BuiltUp,cy-gb,Llanishen,
W45000423,1,Geog/BuiltUp,cy-gb,Doc Penfro,
W45000424,1,Geog/BuiltUp,cy-gb,Sageston,
W45000425,1,Geog/BuiltUp,cy-gb,Catbrook,
W45000426,1,Geog/BuiltUp,cy-gb,New Hedges and Twy Cross,
W45000427,1,Geog/BuiltUp,cy-gb,Craig-cefn-parc,
W45000428,1,Geog/BuiltUp,cy-gb,Resolfen,
W45000429,1,Geog/BuiltUp,cy-gb,Mamhilad,
W45000430,1,Geog/BuiltUp,cy-gb,Troedyrhiw and Pentrebach,
W45000431,1,Geog/BuiltUp,cy-gb,Aberdâr,
W45000432,1,Geog/BuiltUp,cy-gb,Llangennech,
W45000433,1,Geog/BuiltUp,cy-gb,Deri,
W45000434,1,Geog/BuiltUp,cy-gb,Clydach (Swansea),
W45000435,1,Geog/BuiltUp,cy-gb,Penfro,
W45000436,1,Geog/BuiltUp,cy-gb,Markham,
W45000437,1,Geog/BuiltUp,cy-gb,Pen-bre,
W45000438,1,Geog/BuiltUp,cy-gb,Bedlinog,
W45000439,1,Geog/BuiltUp,cy-gb,St Florence,
W45000440,1,Geog/BuiltUp,cy-gb,Pwll,
W45000441,1,Geog/BuiltUp,cy-gb,Llanhiledd,
W45000442,1,Geog/BuiltUp,cy-gb,Brynbuga,
W45000443,1,Geog/BuiltUp,cy-gb,Porth Tywyn,
W45000444,1,Geog/BuiltUp,cy-gb,Dinbych-y-Pysgod,
W45000445,1,Geog/BuiltUp,cy-gb,Grovesend,
W45000446,1,Geog/BuiltUp,cy-gb,Tyndyrn,
W45000447,1,Geog/BuiltUp,cy-gb,Hundleton,
W45000448,1,Geog/BuiltUp,cy-gb,Llanelli,
W45000449,1,Geog/BuiltUp,cy-gb,Glais,
W45000468,1,Geog/BuiltUp,cy-gb,Penllergaer,
W45000222,1,Geog/BuiltUp,cy-gb,Llandinam,
W45000469,1,Geog/BuiltUp,cy-gb,Oakdale,
W45000223,1,Geog/BuiltUp,cy-gb,Llanfihangel-geneu'r-glyn,
W45000369,1,Geog/BuiltUp,cy-gb,Llangwm,
W45000271,1,Geog/BuiltUp,cy-gb,Abercych,
W45000470,1,Geog/BuiltUp,cy-gb,Gorseinon,
W45000317,1,Geog/BuiltUp,cy-gb,Pwll-trap,
W45000224,1,Geog/BuiltUp,cy-gb,Bow Street,
W45000370,1,Geog/BuiltUp,cy-gb,Ystalyfera,
W45000272,1,Geog/BuiltUp,cy-gb,Llanigon,
W45000471,1,Geog/BuiltUp,cy-gb,Maerdy,
W45000318,1,Geog/BuiltUp,cy-gb,Hwlffordd,
W45000225,1,Geog/BuiltUp,cy-gb,Llanidloes,
W45000371,1,Geog/BuiltUp,cy-gb,Blaenavon,
W45000273,1,Geog/BuiltUp,cy-gb,Trefdraeth,
W45000472,1,Geog/BuiltUp,cy-gb,Freshwater East,
W45000319,1,Geog/BuiltUp,cy-gb,Sanclêr,
W45000226,1,Geog/BuiltUp,cy-gb,Penrhyn-coch,
W45000372,1,Geog/BuiltUp,cy-gb,Robeston West,
W45000274,1,Geog/BuiltUp,cy-gb,Dinas Cross,
W45000473,1,Geog/BuiltUp,cy-gb,Casllwchwr,
W45000320,1,Geog/BuiltUp,cy-gb,Gilwern,
W45000227,1,Geog/BuiltUp,cy-gb,Llangorwen,
W45000373,1,Geog/BuiltUp,cy-gb,Blaendulais,
W45000275,1,Geog/BuiltUp,cy-gb,Waungilwen,
W45000474,1,Geog/BuiltUp,cy-gb,Maenorbyr,
W45000321,1,Geog/BuiltUp,cy-gb,Arberth,
W45000228,1,Geog/BuiltUp,cy-gb,Aberystwyth,
W45000374,1,Geog/BuiltUp,cy-gb,Broom (Pembrokeshire),
W45000276,1,Geog/BuiltUp,cy-gb,Pentre-cwrt,
W45000475,1,Geog/BuiltUp,cy-gb,Trecceln,
W45000322,1,Geog/BuiltUp,cy-gb,Llandybie,
W45000229,1,Geog/BuiltUp,cy-gb,Llanbadarn Fawr,
W45000375,1,Geog/BuiltUp,cy-gb,Pont-iets,
W45000277,1,Geog/BuiltUp,cy-gb,Boncath,
W45000476,1,Geog/BuiltUp,cy-gb,Castell-nedd,
W45000323,1,Geog/BuiltUp,cy-gb,Foelgastell,
W45000230,1,Geog/BuiltUp,cy-gb,Capel Bangor,
W45000376,1,Geog/BuiltUp,cy-gb,Rosemarket,
W45000278,1,Geog/BuiltUp,cy-gb,Wdig,
W45000477,1,Geog/BuiltUp,cy-gb,Trelewis,
W45000324,1,Geog/BuiltUp,cy-gb,Y Fenni,
W45000231,1,Geog/BuiltUp,cy-gb,Llanilar,
W45000377,1,Geog/BuiltUp,cy-gb,Llannon (Carmarthenshire),
W45000279,1,Geog/BuiltUp,cy-gb,Saron (Llangeler),
W45000478,1,Geog/BuiltUp,cy-gb,Pen-pedair-heol,
W45000325,1,Geog/BuiltUp,cy-gb,Brynamman,
W45000232,1,Geog/BuiltUp,cy-gb,Llanrhystud,
W45000378,1,Geog/BuiltUp,cy-gb,Y Blaenau,
W45000280,1,Geog/BuiltUp,cy-gb,Aberllynfi,
W45000479,1,Geog/BuiltUp,cy-gb,Ferndale,
W45000326,1,Geog/BuiltUp,cy-gb,Merlin's Bridge,
W45000233,1,Geog/BuiltUp,cy-gb,Rhaeadr Gwy,
W45000379,1,Geog/BuiltUp,cy-gb,Hill Mountain,
W45000281,1,Geog/BuiltUp,cy-gb,Abergwaun,
W45000480,1,Geog/BuiltUp,cy-gb,Y Coed Duon,
W45000327,1,Geog/BuiltUp,cy-gb,Broad Haven,
W45000234,1,Geog/BuiltUp,cy-gb,Norton (Powys),
W45000380,1,Geog/BuiltUp,cy-gb,Pentywyn,
W45000282,1,Geog/BuiltUp,cy-gb,Pencader,
W45000481,1,Geog/BuiltUp,cy-gb,Tir-y-berth and Glan-y-nant,
W45000328,1,Geog/BuiltUp,cy-gb,Govilon,
W45000235,1,Geog/BuiltUp,cy-gb,Llannon (Sir Ceredigion),
W45000381,1,Geog/BuiltUp,cy-gb,Mynyddygarreg,
W45000283,1,Geog/BuiltUp,cy-gb,Bronllys,
W45000482,1,Geog/BuiltUp,cy-gb,Gelligaer,
W45000329,1,Geog/BuiltUp,cy-gb,Blaenau and Cae'r-bryn,
W45000236,1,Geog/BuiltUp,cy-gb,Pontrhydfendigaid,
W45000382,1,Geog/BuiltUp,cy-gb,Rhymni,
W45000284,1,Geog/BuiltUp,cy-gb,Llanymddyfri,
W45000285,1,Geog/BuiltUp,cy-gb,Talgarth,
W45000286,1,Geog/BuiltUp,cy-gb,Crymych,
W45000287,1,Geog/BuiltUp,cy-gb,Treletert,
W45000288,1,Geog/BuiltUp,cy-gb,Aberhonddu,
W45000289,1,Geog/BuiltUp,cy-gb,Pontsenni,
W45000290,1,Geog/BuiltUp,cy-gb,Llangors,
W45000291,1,Geog/BuiltUp,cy-gb,Maenclochog,
W45000292,1,Geog/BuiltUp,cy-gb,Whitchurch (Pembrokeshire),
W45000293,1,Geog/BuiltUp,cy-gb,Tyddewi,
W45000294,1,Geog/BuiltUp,cy-gb,Brawdy,
W45000295,1,Geog/BuiltUp,cy-gb,Solfach,
W45000296,1,Geog/BuiltUp,cy-gb,Peniel,
W45000297,1,Geog/BuiltUp,cy-gb,Bronwydd,
W45000298,1,Geog/BuiltUp,cy-gb,Rhosmaen,
W45000299,1,Geog/BuiltUp,cy-gb,Spittal (Pembrokeshire),
W45000383,1,Geog/BuiltUp,cy-gb,Pontneddfechan,
W45000384,1,Geog/BuiltUp,cy-gb,Rhaglan,
W45000385,1,Geog/BuiltUp,cy-gb,St Ishmael's,
W45000386,1,Geog/BuiltUp,cy-gb,Cilgeti,
W45000387,1,Geog/BuiltUp,cy-gb,Begeli,
W45000388,1,Geog/BuiltUp,cy-gb,Merthyr Tudful,
W45000389,1,Geog/BuiltUp,cy-gb,Dale,
W45000390,1,Geog/BuiltUp,cy-gb,Cydweli,
W45000391,1,Geog/BuiltUp,cy-gb,Pleasant Valley,
W45000392,1,Geog/BuiltUp,cy-gb,The Narth,
W45000393,1,Geog/BuiltUp,cy-gb,Twyn Bryn-hîr,
W45000394,1,Geog/BuiltUp,cy-gb,Carwe,
W45000395,1,Geog/BuiltUp,cy-gb,Glyn-nedd,
W45000396,1,Geog/BuiltUp,cy-gb,Pontlottyn,
W45000397,1,Geog/BuiltUp,cy-gb,Broadmoor,
W45000398,1,Geog/BuiltUp,cy-gb,Wooden,
W45000399,1,Geog/BuiltUp,cy-gb,Abertysswg,
W45000483,1,Geog/BuiltUp,cy-gb,St Arvans,
W45000330,1,Geog/BuiltUp,cy-gb,Garnant,
W45000484,1,Geog/BuiltUp,cy-gb,Treharris,
W45000331,1,Geog/BuiltUp,cy-gb,Glanaman,
W45000485,1,Geog/BuiltUp,cy-gb,Llangybi,
W45000332,1,Geog/BuiltUp,cy-gb,Cross Hands,
W45000237,1,Geog/BuiltUp,cy-gb,Y Groes,
W45000486,1,Geog/BuiltUp,cy-gb,Fleur-de-lis and Pengam,
W45000333,1,Geog/BuiltUp,cy-gb,Cross Hands and Pen-y-groes,
W45000238,1,Geog/BuiltUp,cy-gb,Llanllyr,
W45000487,1,Geog/BuiltUp,cy-gb,Treorci,
W45000334,1,Geog/BuiltUp,cy-gb,Llanffwyst,
W45000239,1,Geog/BuiltUp,cy-gb,Aberaeron,
W45000488,1,Geog/BuiltUp,cy-gb,Abergwynfi,
W45000335,1,Geog/BuiltUp,cy-gb,Clydach (Monmouthshire),
W45000240,1,Geog/BuiltUp,cy-gb,Llandrindod,
W45000489,1,Geog/BuiltUp,cy-gb,Cymer,
W45000336,1,Geog/BuiltUp,cy-gb,Trefynwy,
W45000241,1,Geog/BuiltUp,cy-gb,Henfynyw,
W45000490,1,Geog/BuiltUp,cy-gb,Tre-gwyr,
W45000337,1,Geog/BuiltUp,cy-gb,Abercraf,
W45000242,1,Geog/BuiltUp,cy-gb,Tregaron,
W45000491,1,Geog/BuiltUp,cy-gb,Abertawe,
W45000338,1,Geog/BuiltUp,cy-gb,Cwmllynfell and Ystradowen,
W45000243,1,Geog/BuiltUp,cy-gb,Ceinewydd,
W45000492,1,Geog/BuiltUp,cy-gb,Pontllanfraith,
W45000339,1,Geog/BuiltUp,cy-gb,Tavernspite,
W45000244,1,Geog/BuiltUp,cy-gb,Y Bontnewydd-ar-Wy,
W45000493,1,Geog/BuiltUp,cy-gb,Pen-clawdd,
W45000340,1,Geog/BuiltUp,cy-gb,Saron (Llandybie),
W45000245,1,Geog/BuiltUp,cy-gb,Llanarth (Ceredigion),
W45000494,1,Geog/BuiltUp,cy-gb,Croeserw,
W45000341,1,Geog/BuiltUp,cy-gb,Rhydaman,
W45000246,1,Geog/BuiltUp,cy-gb,Cross Inn,
W45000495,1,Geog/BuiltUp,cy-gb,Pontrhydyfen,
W45000342,1,Geog/BuiltUp,cy-gb,Waunllapria,
W45000247,1,Geog/BuiltUp,cy-gb,Ystrad Aeron,
W45000496,1,Geog/BuiltUp,cy-gb,Nelson (Caerphilly),
W45000343,1,Geog/BuiltUp,cy-gb,Y Tymbl,
W45000248,1,Geog/BuiltUp,cy-gb,Llanelwedd,
W45000497,1,Geog/BuiltUp,cy-gb,Llandarcy,
W45000344,1,Geog/BuiltUp,cy-gb,Bancffosfelen,
W45000249,1,Geog/BuiltUp,cy-gb,Parcllyn,
W45000498,1,Geog/BuiltUp,cy-gb,Abercynon,
W45000345,1,Geog/BuiltUp,cy-gb,Penybanc,
W45000499,1,Geog/BuiltUp,cy-gb,Tylorstown and Pontygwaith,
W45000346,1,Geog/BuiltUp,cy-gb,Gwaun-Cae-Gurwen,
W45000347,1,Geog/BuiltUp,cy-gb,Brynmawr,
W45000348,1,Geog/BuiltUp,cy-gb,Coelbren,
W45000349,1,Geog/BuiltUp,cy-gb,Templeton,
W45000500,1,Geog/BuiltUp,cy-gb,Crofty,
W45000501,1,Geog/BuiltUp,cy-gb,Ystrad Mynach,
W45000502,1,Geog/BuiltUp,cy-gb,Cwmbrân,
W45000503,1,Geog/BuiltUp,cy-gb,Abercarn,
W45000504,1,Geog/BuiltUp,cy-gb,Rhondda,
W45000505,1,Geog/BuiltUp,cy-gb,Maesycwmmer,
W45000506,1,Geog/BuiltUp,cy-gb,Wernffrwd,
W45000507,1,Geog/BuiltUp,cy-gb,Three Crosses,
W45000508,1,Geog/BuiltUp,cy-gb,Baglan,
W45000509,1,Geog/BuiltUp,cy-gb,Wattstown,
W45000510,1,Geog/BuiltUp,cy-gb,Ynysybwl,
W45000511,1,Geog/BuiltUp,cy-gb,Dunvant,
W45000512,1,Geog/BuiltUp,cy-gb,Shirenewton,
