fact,value,Area_id,DataType_id,Domain_id
174,1607,W01000008,RANK,PHYS
175,2,W01000009,DEC,ATS
176,8,W01000009,DEC,COMS
177,5,W01000009,DEC,ED
178,5,W01000009,DEC,EMPL
179,6,W01000009,DEC,HEAL
180,2,W01000009,DEC,HOUS
181,5,W01000009,DEC,INCOM
182,9,W01000009,DEC,PHYS
183,5,W01000009,DEC,WIMD
184,3,W01000009,QUIN,WIMD
185,3,W01000009,QUIN,INCOM
186,3,W01000009,QUIN,EMPL
187,3,W01000009,QUIN,HEAL
188,3,W01000009,QUIN,ED
189,1,W01000009,QUIN,ATS
190,1,W01000009,QUIN,HOUS
191,4,W01000009,QUIN,COMS
192,5,W01000009,QUIN,PHYS
193,819,W01000009,RANK,WIMD
194,808,W01000009,RANK,INCOM
195,768,W01000009,RANK,EMPL
196,992,W01000009,RANK,HEAL
197,945,W01000009,RANK,ED
198,324,W01000009,RANK,ATS
199,348,W01000009,RANK,HOUS
200,1341,W01000009,RANK,COMS
201,1616,W01000009,RANK,PHYS
202,7,W01000010,DEC,ATS
203,9,W01000010,DEC,COMS
204,7,W01000010,DEC,ED
205,7,W01000010,DEC,EMPL
206,9,W01000010,DEC,HEAL
207,8,W01000010,DEC,HOUS
208,8,W01000010,DEC,INCOM
209,9,W01000010,DEC,PHYS
210,9,W01000010,DEC,WIMD
211,5,W01000010,QUIN,WIMD
212,4,W01000010,QUIN,INCOM
213,4,W01000010,QUIN,EMPL
214,5,W01000010,QUIN,HEAL
215,4,W01000010,QUIN,ED
216,4,W01000010,QUIN,ATS
217,4,W01000010,QUIN,HOUS
218,5,W01000010,QUIN,COMS
219,5,W01000010,QUIN,PHYS
220,1624,W01000010,RANK,WIMD
221,1354,W01000010,RANK,INCOM
222,1319,W01000010,RANK,EMPL
223,1609,W01000010,RANK,HEAL
224,1315,W01000010,RANK,ED
225,1165,W01000010,RANK,ATS
226,1443,W01000010,RANK,HOUS
227,1624,W01000010,RANK,COMS
228,1673,W01000010,RANK,PHYS
229,10,W01000011,DEC,ATS
230,1,W01000011,DEC,COMS
231,9,W01000011,DEC,ED
232,7,W01000011,DEC,EMPL
233,10,W01000011,DEC,HEAL
234,2,W01000011,DEC,HOUS
235,8,W01000011,DEC,INCOM
236,9,W01000011,DEC,PHYS
237,8,W01000011,DEC,WIMD
238,4,W01000011,QUIN,WIMD
239,4,W01000011,QUIN,INCOM
240,4,W01000011,QUIN,EMPL
241,5,W01000011,QUIN,HEAL
242,5,W01000011,QUIN,ED
243,5,W01000011,QUIN,ATS
244,1,W01000011,QUIN,HOUS
245,1,W01000011,QUIN,COMS
246,5,W01000011,QUIN,PHYS
247,1377,W01000011,RANK,WIMD
248,1395,W01000011,RANK,INCOM
249,1189,W01000011,RANK,EMPL
250,1773,W01000011,RANK,HEAL
251,1565,W01000011,RANK,ED
252,1850,W01000011,RANK,ATS
253,265,W01000011,RANK,HOUS
254,87,W01000011,RANK,COMS
255,1710,W01000011,RANK,PHYS
256,9,W01000012,DEC,ATS
257,3,W01000012,DEC,COMS
258,8,W01000012,DEC,ED
259,7,W01000012,DEC,EMPL
260,6,W01000012,DEC,HEAL
261,10,W01000012,DEC,HOUS
262,7,W01000012,DEC,INCOM
263,10,W01000012,DEC,PHYS
264,8,W01000012,DEC,WIMD
265,4,W01000012,QUIN,WIMD
266,4,W01000012,QUIN,INCOM
267,4,W01000012,QUIN,EMPL
268,3,W01000012,QUIN,HEAL
269,4,W01000012,QUIN,ED
270,5,W01000012,QUIN,ATS
271,5,W01000012,QUIN,HOUS
272,2,W01000012,QUIN,COMS
273,5,W01000012,QUIN,PHYS
274,1494,W01000012,RANK,WIMD
275,1280,W01000012,RANK,INCOM
276,1231,W01000012,RANK,EMPL
277,1031,W01000012,RANK,HEAL
278,1521,W01000012,RANK,ED
279,1540,W01000012,RANK,ATS
280,1801,W01000012,RANK,HOUS
281,404,W01000012,RANK,COMS
282,1846,W01000012,RANK,PHYS
283,4,W01000013,DEC,ATS
284,10,W01000013,DEC,COMS
285,10,W01000013,DEC,ED
286,9,W01000013,DEC,EMPL
287,10,W01000013,DEC,HEAL
288,9,W01000013,DEC,HOUS
289,10,W01000013,DEC,INCOM
290,10,W01000013,DEC,PHYS
291,10,W01000013,DEC,WIMD
292,5,W01000013,QUIN,WIMD
293,5,W01000013,QUIN,INCOM
294,5,W01000013,QUIN,EMPL
295,5,W01000013,QUIN,HEAL
296,5,W01000013,QUIN,ED
297,2,W01000013,QUIN,ATS
298,5,W01000013,QUIN,HOUS
299,5,W01000013,QUIN,COMS
300,5,W01000013,QUIN,PHYS
301,1777,W01000013,RANK,WIMD
302,1749,W01000013,RANK,INCOM
303,1615,W01000013,RANK,EMPL
304,1827,W01000013,RANK,HEAL
305,1761,W01000013,RANK,ED
306,750,W01000013,RANK,ATS
307,1648,W01000013,RANK,HOUS
308,1753,W01000013,RANK,COMS
309,1828,W01000013,RANK,PHYS
310,7,W01000014,DEC,ATS
311,3,W01000014,DEC,COMS
312,8,W01000014,DEC,ED
313,5,W01000014,DEC,EMPL
314,6,W01000014,DEC,HEAL
315,9,W01000014,DEC,HOUS
316,5,W01000014,DEC,INCOM
317,10,W01000014,DEC,PHYS
318,7,W01000014,DEC,WIMD
319,4,W01000014,QUIN,WIMD
320,3,W01000014,QUIN,INCOM
321,3,W01000014,QUIN,EMPL
322,3,W01000014,QUIN,HEAL
323,4,W01000014,QUIN,ED
324,4,W01000014,QUIN,ATS
325,5,W01000014,QUIN,HOUS
326,2,W01000014,QUIN,COMS
327,5,W01000014,QUIN,PHYS
328,1194,W01000014,RANK,WIMD
329,926,W01000014,RANK,INCOM
330,795,W01000014,RANK,EMPL
331,1027,W01000014,RANK,HEAL
332,1364,W01000014,RANK,ED
333,1172,W01000014,RANK,ATS
334,1554,W01000014,RANK,HOUS
335,543,W01000014,RANK,COMS
336,1726,W01000014,RANK,PHYS
337,10,W01000015,DEC,ATS
338,9,W01000015,DEC,COMS
339,9,W01000015,DEC,ED
340,8,W01000015,DEC,EMPL
341,6,W01000015,DEC,HEAL
342,10,W01000015,DEC,HOUS
343,8,W01000015,DEC,INCOM
344,8,W01000015,DEC,PHYS
345,9,W01000015,DEC,WIMD
346,5,W01000015,QUIN,WIMD
347,4,W01000015,QUIN,INCOM
348,4,W01000015,QUIN,EMPL
349,3,W01000015,QUIN,HEAL
350,5,W01000015,QUIN,ED
351,5,W01000015,QUIN,ATS
352,5,W01000015,QUIN,HOUS
353,5,W01000015,QUIN,COMS
354,4,W01000015,QUIN,PHYS
355,1704,W01000015,RANK,WIMD
356,1528,W01000015,RANK,INCOM
357,1425,W01000015,RANK,EMPL
358,1081,W01000015,RANK,HEAL
359,1689,W01000015,RANK,ED
360,1786,W01000015,RANK,ATS
361,1770,W01000015,RANK,HOUS
362,1589,W01000015,RANK,COMS
363,1409,W01000015,RANK,PHYS
364,7,W01000016,DEC,ATS
365,1,W01000016,DEC,COMS
366,2,W01000016,DEC,ED
367,1,W01000016,DEC,EMPL
368,2,W01000016,DEC,HEAL
369,3,W01000016,DEC,HOUS
370,1,W01000016,DEC,INCOM
371,7,W01000016,DEC,PHYS
372,1,W01000016,DEC,WIMD
373,1,W01000016,QUIN,WIMD
374,1,W01000016,QUIN,INCOM
375,1,W01000016,QUIN,EMPL
376,1,W01000016,QUIN,HEAL
377,1,W01000016,QUIN,ED
378,4,W01000016,QUIN,ATS
379,2,W01000016,QUIN,HOUS
380,1,W01000016,QUIN,COMS
381,4,W01000016,QUIN,PHYS
382,168,W01000016,RANK,WIMD
383,103,W01000016,RANK,INCOM
384,113,W01000016,RANK,EMPL
385,357,W01000016,RANK,HEAL
386,339,W01000016,RANK,ED
387,1198,W01000016,RANK,ATS
388,406,W01000016,RANK,HOUS
389,40,W01000016,RANK,COMS
390,1201,W01000016,RANK,PHYS
391,5,W01000017,DEC,ATS
392,2,W01000017,DEC,COMS
393,2,W01000017,DEC,ED
394,3,W01000017,DEC,EMPL
395,4,W01000017,DEC,HEAL
396,6,W01000017,DEC,HOUS
397,2,W01000017,DEC,INCOM
398,10,W01000017,DEC,PHYS
399,3,W01000017,DEC,WIMD
400,2,W01000017,QUIN,WIMD
401,1,W01000017,QUIN,INCOM
402,2,W01000017,QUIN,EMPL
403,2,W01000017,QUIN,HEAL
404,1,W01000017,QUIN,ED
405,3,W01000017,QUIN,ATS
406,3,W01000017,QUIN,HOUS
407,1,W01000017,QUIN,COMS
408,5,W01000017,QUIN,PHYS
409,486,W01000017,RANK,WIMD
410,302,W01000017,RANK,INCOM
411,554,W01000017,RANK,EMPL
412,670,W01000017,RANK,HEAL
413,314,W01000017,RANK,ED
414,928,W01000017,RANK,ATS
415,1079,W01000017,RANK,HOUS
416,369,W01000017,RANK,COMS
417,1736,W01000017,RANK,PHYS
418,8,W01000018,DEC,ATS
419,7,W01000018,DEC,COMS
420,6,W01000018,DEC,ED
421,5,W01000018,DEC,EMPL
422,7,W01000018,DEC,HEAL
423,6,W01000018,DEC,HOUS
424,4,W01000018,DEC,INCOM
425,10,W01000018,DEC,PHYS
426,6,W01000018,DEC,WIMD
427,3,W01000018,QUIN,WIMD
428,2,W01000018,QUIN,INCOM
429,3,W01000018,QUIN,EMPL
430,4,W01000018,QUIN,HEAL
431,3,W01000018,QUIN,ED
432,4,W01000018,QUIN,ATS
433,3,W01000018,QUIN,HOUS
434,4,W01000018,QUIN,COMS
435,5,W01000018,QUIN,PHYS
436,1145,W01000018,RANK,WIMD
437,759,W01000018,RANK,INCOM
438,815,W01000018,RANK,EMPL
439,1159,W01000018,RANK,HEAL
440,972,W01000018,RANK,ED
441,1345,W01000018,RANK,ATS
442,1081,W01000018,RANK,HOUS
443,1337,W01000018,RANK,COMS
444,1829,W01000018,RANK,PHYS
445,6,W01000019,DEC,ATS
446,7,W01000019,DEC,COMS
447,4,W01000019,DEC,ED
448,6,W01000019,DEC,EMPL
449,7,W01000019,DEC,HEAL
450,7,W01000019,DEC,HOUS
451,7,W01000019,DEC,INCOM
452,6,W01000019,DEC,PHYS
453,7,W01000019,DEC,WIMD
454,4,W01000019,QUIN,WIMD
455,4,W01000019,QUIN,INCOM
456,3,W01000019,QUIN,EMPL
457,4,W01000019,QUIN,HEAL
458,2,W01000019,QUIN,ED
459,3,W01000019,QUIN,ATS
460,4,W01000019,QUIN,HOUS
461,4,W01000019,QUIN,COMS
462,3,W01000019,QUIN,PHYS
463,1233,W01000019,RANK,WIMD
464,1264,W01000019,RANK,INCOM
465,1055,W01000019,RANK,EMPL
466,1216,W01000019,RANK,HEAL
467,630,W01000019,RANK,ED
468,968,W01000019,RANK,ATS
469,1155,W01000019,RANK,HOUS
470,1317,W01000019,RANK,COMS
471,989,W01000019,RANK,PHYS
472,1,W01000020,DEC,ATS
473,9,W01000020,DEC,COMS
474,9,W01000020,DEC,ED
475,8,W01000020,DEC,EMPL
476,9,W01000020,DEC,HEAL
477,4,W01000020,DEC,HOUS
478,9,W01000020,DEC,INCOM
479,10,W01000020,DEC,PHYS
480,8,W01000020,DEC,WIMD
481,4,W01000020,QUIN,WIMD
482,5,W01000020,QUIN,INCOM
483,4,W01000020,QUIN,EMPL
484,5,W01000020,QUIN,HEAL
485,5,W01000020,QUIN,ED
486,1,W01000020,QUIN,ATS
487,2,W01000020,QUIN,HOUS
488,5,W01000020,QUIN,COMS
489,5,W01000020,QUIN,PHYS
490,1424,W01000020,RANK,WIMD
491,1578,W01000020,RANK,INCOM
492,1479,W01000020,RANK,EMPL
493,1597,W01000020,RANK,HEAL
494,1633,W01000020,RANK,ED
495,153,W01000020,RANK,ATS
496,718,W01000020,RANK,HOUS
497,1537,W01000020,RANK,COMS
498,1880,W01000020,RANK,PHYS
499,2,W01000021,DEC,ATS
500,9,W01000021,DEC,COMS
501,7,W01000021,DEC,ED
502,6,W01000021,DEC,EMPL
503,7,W01000021,DEC,HEAL
504,4,W01000021,DEC,HOUS
505,6,W01000021,DEC,INCOM
506,9,W01000021,DEC,PHYS
507,3,W01000049,DEC,COMS
508,4,W01000049,DEC,ED
509,5,W01000049,DEC,EMPL
510,9,W01000049,DEC,HEAL
511,2,W01000049,DEC,HOUS
512,6,W01000049,DEC,INCOM
513,10,W01000049,DEC,PHYS
514,6,W01000049,DEC,WIMD
515,3,W01000049,QUIN,WIMD
516,3,W01000049,QUIN,INCOM
517,3,W01000049,QUIN,EMPL
518,5,W01000049,QUIN,HEAL
519,2,W01000049,QUIN,ED
520,4,W01000049,QUIN,ATS
521,1,W01000049,QUIN,HOUS
522,2,W01000049,QUIN,COMS
523,5,W01000049,QUIN,PHYS
524,1037,W01000049,RANK,WIMD
525,963,W01000049,RANK,INCOM
526,923,W01000049,RANK,EMPL
527,1643,W01000049,RANK,HEAL
528,592,W01000049,RANK,ED
529,1329,W01000049,RANK,ATS
530,281,W01000049,RANK,HOUS
531,552,W01000049,RANK,COMS
532,1882,W01000049,RANK,PHYS
533,2,W01000050,DEC,ATS
534,4,W01000050,DEC,COMS
535,8,W01000050,DEC,ED
536,5,W01000050,DEC,EMPL
537,8,W01000050,DEC,HEAL
538,2,W01000050,DEC,HOUS
539,5,W01000050,DEC,INCOM
540,5,W01000050,DEC,PHYS
541,5,W01000050,DEC,WIMD
542,3,W01000050,QUIN,WIMD
543,3,W01000050,QUIN,INCOM
544,3,W01000050,QUIN,EMPL
545,4,W01000050,QUIN,HEAL
546,4,W01000050,QUIN,ED
547,1,W01000050,QUIN,ATS
548,1,W01000050,QUIN,HOUS
549,2,W01000050,QUIN,COMS
550,3,W01000050,QUIN,PHYS
551,855,W01000050,RANK,WIMD
552,927,W01000050,RANK,INCOM
553,845,W01000050,RANK,EMPL
554,1428,W01000050,RANK,HEAL
555,1499,W01000050,RANK,ED
556,205,W01000050,RANK,ATS
557,197,W01000050,RANK,HOUS
558,707,W01000050,RANK,COMS
559,897,W01000050,RANK,PHYS
560,7,W01000051,DEC,ATS
561,5,W01000051,DEC,COMS
562,5,W01000051,DEC,ED
563,6,W01000051,DEC,EMPL
564,6,W01000051,DEC,HEAL
565,7,W01000051,DEC,HOUS
566,5,W01000051,DEC,INCOM
567,5,W01000051,DEC,PHYS
568,7,W01000051,DEC,WIMD
569,4,W01000051,QUIN,WIMD
570,3,W01000051,QUIN,INCOM
571,3,W01000051,QUIN,EMPL
572,3,W01000051,QUIN,HEAL
573,3,W01000051,QUIN,ED
574,4,W01000051,QUIN,ATS
575,4,W01000051,QUIN,HOUS
576,3,W01000051,QUIN,COMS
577,3,W01000051,QUIN,PHYS
578,1167,W01000051,RANK,WIMD
579,934,W01000051,RANK,INCOM
580,969,W01000051,RANK,EMPL
581,1094,W01000051,RANK,HEAL
582,890,W01000051,RANK,ED
583,1295,W01000051,RANK,ATS
584,1278,W01000051,RANK,HOUS
585,845,W01000051,RANK,COMS
586,922,W01000051,RANK,PHYS
587,4,W01000052,DEC,ATS
588,10,W01000052,DEC,COMS
589,8,W01000052,DEC,ED
590,10,W01000052,DEC,EMPL
591,7,W01000052,DEC,HEAL
592,5,W01000052,DEC,HOUS
593,9,W01000052,DEC,INCOM
594,10,W01000052,DEC,PHYS
595,9,W01000052,DEC,WIMD
596,5,W01000052,QUIN,WIMD
597,5,W01000052,QUIN,INCOM
598,5,W01000052,QUIN,EMPL
599,4,W01000052,QUIN,HEAL
600,4,W01000052,QUIN,ED
601,2,W01000052,QUIN,ATS
602,3,W01000052,QUIN,HOUS
603,5,W01000052,QUIN,COMS
604,5,W01000052,QUIN,PHYS
605,1606,W01000052,RANK,WIMD
606,1636,W01000052,RANK,INCOM
607,1725,W01000052,RANK,EMPL
608,1237,W01000052,RANK,HEAL
609,1473,W01000052,RANK,ED
610,632,W01000052,RANK,ATS
611,811,W01000052,RANK,HOUS
612,1840,W01000052,RANK,COMS
613,1908,W01000052,RANK,PHYS
614,2,W01000053,DEC,ATS
615,8,W01000053,DEC,COMS
616,9,W01000053,DEC,ED
617,10,W01000053,DEC,EMPL
618,9,W01000053,DEC,HEAL
619,1,W01000053,DEC,HOUS
620,9,W01000053,DEC,INCOM
621,8,W01000053,DEC,PHYS
622,7,W01000053,DEC,WIMD
623,4,W01000053,QUIN,WIMD
624,5,W01000053,QUIN,INCOM
625,5,W01000053,QUIN,EMPL
626,5,W01000053,QUIN,HEAL
627,5,W01000053,QUIN,ED
628,1,W01000053,QUIN,ATS
629,1,W01000053,QUIN,HOUS
630,4,W01000053,QUIN,COMS
631,4,W01000053,QUIN,PHYS
632,1320,W01000053,RANK,WIMD
633,1650,W01000053,RANK,INCOM
634,1788,W01000053,RANK,EMPL
635,1664,W01000053,RANK,HEAL
636,1575,W01000053,RANK,ED
637,209,W01000053,RANK,ATS
638,86,W01000053,RANK,HOUS
639,1346,W01000053,RANK,COMS
640,1520,W01000053,RANK,PHYS
641,2,W01000054,DEC,ATS
642,4,W01000054,DEC,COMS
643,8,W01000054,DEC,ED
644,8,W01000054,DEC,EMPL
645,8,W01000054,DEC,HEAL
646,6,W01000054,DEC,HOUS
647,8,W01000054,DEC,INCOM
648,8,W01000054,DEC,PHYS
649,8,W01000054,DEC,WIMD
650,4,W01000054,QUIN,WIMD
651,4,W01000054,QUIN,INCOM
652,4,W01000054,QUIN,EMPL
653,4,W01000054,QUIN,HEAL
654,4,W01000054,QUIN,ED
655,1,W01000054,QUIN,ATS
656,3,W01000054,QUIN,HOUS
657,2,W01000054,QUIN,COMS
658,4,W01000054,QUIN,PHYS
659,1394,W01000054,RANK,WIMD
660,1455,W01000054,RANK,INCOM
661,1389,W01000054,RANK,EMPL
662,1348,W01000054,RANK,HEAL
663,1522,W01000054,RANK,ED
664,308,W01000054,RANK,ATS
665,1105,W01000054,RANK,HOUS
666,755,W01000054,RANK,COMS
667,1446,W01000054,RANK,PHYS
668,3,W01000056,DEC,ATS
669,2,W01000056,DEC,COMS
670,4,W01000056,DEC,ED
671,4,W01000056,DEC,EMPL
672,4,W01000056,DEC,HEAL
673,1,W01000056,DEC,HOUS
674,4,W01000056,DEC,INCOM
675,8,W01000056,DEC,PHYS
676,3,W01000056,DEC,WIMD
677,2,W01000056,QUIN,WIMD
678,2,W01000056,QUIN,INCOM
679,2,W01000056,QUIN,EMPL
680,2,W01000056,QUIN,HEAL
681,2,W01000056,QUIN,ED
682,2,W01000056,QUIN,ATS
683,1,W01000056,QUIN,HOUS
684,1,W01000056,QUIN,COMS
685,4,W01000056,QUIN,PHYS
686,558,W01000056,RANK,WIMD
687,616,W01000056,RANK,INCOM
688,648,W01000056,RANK,EMPL
689,709,W01000056,RANK,HEAL
690,761,W01000056,RANK,ED
691,399,W01000056,RANK,ATS
692,177,W01000056,RANK,HOUS
693,327,W01000056,RANK,COMS
694,1524,W01000056,RANK,PHYS
695,1,W01000057,DEC,ATS
696,9,W01000057,DEC,COMS
697,7,W01000057,DEC,ED
698,8,W01000057,DEC,EMPL
699,9,W01000057,DEC,HEAL
700,1,W01000057,DEC,HOUS
701,8,W01000057,DEC,INCOM
702,7,W01000057,DEC,PHYS
703,5,W01000057,DEC,WIMD
704,3,W01000057,QUIN,WIMD
705,4,W01000057,QUIN,INCOM
706,4,W01000057,QUIN,EMPL
707,5,W01000057,QUIN,HEAL
708,4,W01000057,QUIN,ED
709,1,W01000057,QUIN,ATS
710,1,W01000057,QUIN,HOUS
711,5,W01000057,QUIN,COMS
712,4,W01000057,QUIN,PHYS
713,889,W01000057,RANK,WIMD
714,1448,W01000057,RANK,INCOM
715,1407,W01000057,RANK,EMPL
716,1567,W01000057,RANK,HEAL
717,1148,W01000057,RANK,ED
718,62,W01000057,RANK,ATS
719,22,W01000057,RANK,HOUS
720,1577,W01000057,RANK,COMS
721,1219,W01000057,RANK,PHYS
722,3,W01000059,DEC,ATS
723,1,W01000059,DEC,COMS
724,3,W01000059,DEC,ED
725,2,W01000059,DEC,EMPL
726,3,W01000059,DEC,HEAL
727,4,W01000059,DEC,HOUS
728,2,W01000059,DEC,INCOM
729,9,W01000059,DEC,PHYS
730,2,W01000059,DEC,WIMD
731,1,W01000059,QUIN,WIMD
732,1,W01000059,QUIN,INCOM
733,1,W01000059,QUIN,EMPL
734,2,W01000059,QUIN,HEAL
735,2,W01000059,QUIN,ED
736,2,W01000059,QUIN,ATS
737,2,W01000059,QUIN,HOUS
738,1,W01000059,QUIN,COMS
739,5,W01000059,QUIN,PHYS
740,357,W01000059,RANK,WIMD
741,298,W01000059,RANK,INCOM
742,319,W01000059,RANK,EMPL
743,525,W01000059,RANK,HEAL
744,557,W01000059,RANK,ED
745,539,W01000059,RANK,ATS
746,674,W01000059,RANK,HOUS
747,60,W01000059,RANK,COMS
748,1664,W01000059,RANK,PHYS
749,1,W01000060,DEC,ATS
750,9,W01000060,DEC,COMS
751,8,W01000060,DEC,ED
752,8,W01000060,DEC,EMPL
753,8,W01000060,DEC,HEAL
754,1,W01000060,DEC,HOUS
755,7,W01000060,DEC,INCOM
756,5,W01000060,DEC,PHYS
757,5,W01000060,DEC,WIMD
758,3,W01000060,QUIN,WIMD
759,4,W01000060,QUIN,INCOM
760,4,W01000060,QUIN,EMPL
761,4,W01000060,QUIN,HEAL
762,4,W01000060,QUIN,ED
763,1,W01000060,QUIN,ATS
764,1,W01000060,QUIN,HOUS
765,5,W01000060,QUIN,COMS
766,3,W01000060,QUIN,PHYS
767,768,W01000060,RANK,WIMD
768,1187,W01000060,RANK,INCOM
769,1380,W01000060,RANK,EMPL
770,1502,W01000060,RANK,HEAL
